1	1	1	1	1	117.22	0	1	0	0	1	25	482
1	1	1	2	2	10.219	0	1	0	1	1	12	447
1	1	1	3	3	16.292	0	2	0	1	2	107	146
1	1	1	4	4	12.031	0	2	0	1	2	108	86
1	1	1	5	5	15.262	0	2	0	1	2	110	62
1	1	1	6	6	12.731	0	2	0	1	3	109	89
1	1	1	7	7	11.377	0	1	0	1	3	45	459
1	1	1	8	8	17.821	0	2	0	0	1	103	165
1	1	1	9	9	24.605	0	1	0	0	1	12	380
1	1	1	10	10	22.13	0	1	0	0	1	40	416
1	1	1	11	11	10.458	0	2	0	0	1	96	175
1	1	1	12	12	21.327	0	1	0	0	1	43	451
1	1	1	13	13	14.532	0	2	0	0	1	112	66
1	1	1	14	14	6.8369	0	2	0	1	1	127	86
1	1	1	15	15	8.6582	0	2	0	0	1	116	168
1	1	1	16	16	13.453	0	2	0	0	1	95	110
1	1	1	17	17	8.6301	0	1	0	0	1	24	393
1	1	1	18	18	13.941	0	2	0	1	1	96	105
1	1	1	19	19	13.077	0	2	0	1	1	129	132
1	1	1	20	20	6.5413	0	1	0	0	1	28	374
1	2	2	1	21	22.389	45	2	0	1	1	102	117
1	2	2	2	22	9.3973	45	1	0	0	1	38	435
1	2	2	3	23	17.938	45	1	0	1	1	40	394
1	2	2	4	24	10.885	45	1	0	0	1	29	455
1	2	2	5	25	12.011	45	1	0	1	1	36	407
1	2	2	6	26	12.372	45	2	0	1	2	118	198
1	2	2	7	27	13.706	45	2	0	0	2	98	133
1	2	2	8	28	10.153	45	2	0	1	2	111	167
1	2	2	9	29	16.527	45	1	0	1	2	14	452
1	2	2	10	30	6.9832	45	1	0	1	3	28	491
1	2	2	11	31	4.6642	45	2	0	0	3	113	198
1	2	2	12	32	13.175	45	1	0	1	3	11	370
1	2	2	13	33	12.822	45	2	0	1	3	108	182
1	2	2	14	34	5.0897	45	1	0	0	3	17	464
1	2	2	15	35	7.672	45	2	0	1	3	124	104
1	2	2	16	36	8.5407	45	2	0	1	4	97	65
1	2	2	17	37	6.3577	45	2	0	1	3	115	162
1	2	2	18	38	4.5496	45	1	0	0	3	37	426
1	2	2	19	39	6.3707	45	1	0	0	2	21	450
1	2	2	20	40	7.1805	45	1	0	1	2	20	481
1	3	3	1	41	8.841	65	1	0	1	3	39	474
1	3	3	2	42	3.1413	65	1	0	0	3	34	364
1	3	3	3	43	11.01	65	1	0	1	3	35	475
1	3	3	4	44	6.81	65	2	0	1	4	108	183
1	3	3	5	45	4.1637	65	1	0	1	4	29	451
1	3	3	6	46	6.0595	65	2	0	1	5	94	131
1	3	3	7	47	3.0963	65	1	0	0	4	44	434
1	3	3	8	48	11.279	65	1	0	1	4	13	486
1	3	3	9	49	13.41	65	1	0	0	3	24	403
1	3	3	10	50	4.8012	65	1	0	1	3	20	357
1	3	3	11	51	6.4375	65	1	0	1	4	44	364
1	3	3	12	52	4.7832	65	1	0	1	5	21	361
1	3	3	13	53	8.4692	65	2	0	1	5	125	98
1	3	3	14	54	5.4975	65	2	0	0	5	113	126
1	3	3	15	55	9.9138	65	1	0	0	1	14	414
1	3	3	16	56	3.1041	65	2	0	1	1	98	132
1	3	3	17	57	5.8292	65	2	0	0	1	93	73
1	3	3	18	58	1.898	65	2	0	0	1	114	101
1	3	3	19	59	5.6264	65	2	0	0	1	114	119
1	3	3	20	60	3.4015	65	2	0	0	1	95	69
1	4	4	1	61	8.7185	55	1	0	1	2	41	359
1	4	4	2	62	8.7326	55	2	0	1	3	127	183
1	4	4	3	63	3.7893	55	1	0	1	3	16	482
1	4	4	4	64	4.8226	55	1	0	0	3	39	456
1	4	4	5	65	5.9651	55	1	0	1	3	23	408
1	4	4	6	66	8.1955	55	1	0	1	4	45	393
1	4	4	7	67	3.5898	55	1	0	1	4	26	354
1	4	4	8	68	3.1893	55	1	0	0	1	39	422
1	4	4	9	69	5.6794	55	1	0	0	4	37	359
1	4	4	10	70	5.369	55	1	0	0	4	31	436
1	4	4	11	71	9.8857	55	2	0	1	4	94	60
1	4	4	12	72	1.6481	55	1	0	0	4	22	461
1	4	4	13	73	7.3967	55	1	0	0	1	50	451
1	4	4	14	74	2.2602	55	1	0	1	1	23	352
1	4	4	15	75	2.7082	55	2	0	0	1	111	139
1	4	4	16	76	1.0655	55	1	0	0	1	33	421
1	4	4	17	77	1.5551	55	2	0	1	1	101	80
1	4	4	18	78	4.1788	55	1	0	0	1	21	352
1	4	4	19	79	13.184	55	2	0	0	1	94	145
1	4	4	20	80	3.7914	55	1	0	0	1	47	403
1	5	5	1	81	5.1351	45	2	0	1	1	107	150
1	5	5	2	82	1.3013	45	2	0	0	1	110	147
1	5	5	3	83	0.82549	45	2	0	1	1	102	80
1	5	5	4	84	0.42654	45	1	0	1	1	23	464
1	5	5	5	85	0.60515	45	1	0	1	1	47	430
1	5	5	6	86	0.56561	45	2	0	0	1	92	199
1	5	5	7	87	0.68771	45	2	0	1	1	120	183
1	5	5	8	88	2.0734	45	1	0	0	1	43	362
1	5	5	9	89	0.76166	45	1	0	0	1	34	420
1	5	5	10	90	0.55725	45	2	0	1	2	114	169
1	5	5	11	91	1.1785	45	1	0	0	1	42	358
1	5	5	12	92	0.57782	45	2	0	1	1	116	115
1	5	5	13	93	0.42497	45	2	0	1	1	107	155
1	5	5	14	94	0.52067	45	2	0	0	1	100	138
1	5	5	15	95	1.4163	45	2	0	1	1	107	77
1	5	5	16	96	0.67393	45	2	0	0	1	114	87
1	5	5	17	97	0.493	45	1	0	1	1	16	475
